source_data	related_parsed_name	parsed_names	cleaned_names	cleaned_index_name_of_empty_result
'Discovery' Exped. 1934-35				cleaned_0index:0
'Discovery' Expedition				cleaned_0index:0
'Engledow in Bolton J.J.'				cleaned_0index:0
'Engledow in Bolton'				cleaned_0index:0
'Tauschvermittlung für Herbarpflanzen'				cleaned_0index:0
's L.Bosbeheer				cleaned_0index:0
's Lands Bosbeheer				cleaned_0index:0
's Lands Bosbeher				cleaned_0index:0
's Landsbosbeheer				cleaned_0index:0
(H.S III)				cleaned_0index:0
(Herbier Arm. Thielens)	Herbier Arm. Thielens	parsed:Herbier Arm. Thielens		cleaned_0index:0
(Herbier Clément Aigret)	Herbier Clément Aigret	parsed:Herbier Clément Aigret		cleaned_0index:0
(illisible)				cleaned_0index:0
/				cleaned_0index:0
1. Mougeot / 2. Fontes?				cleaned_0index:0
1. Mougeot;2. Desmoulins				cleaned_0index:0
1984 Sino-Amer. Bot. Exped.	Sino-Amer. Bot. Exped.	parsed:Sino-Amer. Bot. Exped.		cleaned_0index:0
749				cleaned_0index:0
8				cleaned_0index:0
9A				cleaned_0index:0
?				cleaned_0index:0
? J. B.	J. B.	parsed:J. B.		cleaned_0index:0
? Service d L'Agriculture & du Domaine	Service d L'Agriculture	parsed:Service d L'Agriculture<SEP>du Domaine	cleaned:<SEP>du Domaine	cleaned_0index:0
? Service des Eaux et Forêts de Madagascar	Service des Eaux	parsed:Service des Eaux<SEP>Forêts de	cleaned:<SEP>	cleaned_0index:0
? Service des Eaux et Forêts de Madagascar	Forêts de	parsed:Service des Eaux<SEP>Forêts de	cleaned:<SEP>	cleaned_0index:1
? [K.P.]				cleaned_0index:0
?African Staff	African Staff	parsed:African Staff		cleaned_0index:0
?Agronome VI				cleaned_0index:0
?Coastal Forest Research Programme	Coastal Forest Research Programme	parsed:Coastal Forest Research Programme		cleaned_0index:0
?Dean Dr. De Wildeman				cleaned_0index:0
?Equipe Recherche Paturages	Equipe Recherche Paturages	parsed:Equipe Recherche Paturages		cleaned_0index:0
?Ex Forest Nurseries	Forest Nurseries	parsed:Forest Nurseries		cleaned_0index:0
?F.M.C. V.	F.M.C. V.	parsed:F.M.C. V.		cleaned_0index:0
?Jardin Botanique de Tananarive	Jardin Botanique de Tananarive	parsed:Jardin Botanique de Tananarive		cleaned_0index:0
?Jean Malvaux sc.	Jean Malvaux sc.	parsed:Jean Malvaux sc.		cleaned_0index:0
?Lab. Staff	Lab. Staff	parsed:Lab. Staff		cleaned_0index:0
?Lab. Staff.	Lab. Staff.	parsed:Lab. Staff.		cleaned_0index:0
?P.E.G. & B. K.	B. K.	parsed:P.E.G.<SEP>B. K.	cleaned:P.E.G.<SEP>	cleaned_0index:1
?Réserves Naturelles de Madagascar	Réserves Naturelles de	parsed:Réserves Naturelles de		cleaned_0index:0
?Service Forestier	Service Forestier	parsed:Service Forestier		cleaned_0index:0
?Service des Eaux et Forêts de Madagascar	Service des Eaux	parsed:Service des Eaux<SEP>Forêts de	cleaned:<SEP>	cleaned_0index:0
?Service des Eaux et Forêts de Madagascar	Forêts de	parsed:Service des Eaux<SEP>Forêts de	cleaned:<SEP>	cleaned_0index:1
?The Honble Mrs Evelyn Cecil	The Honble Mrs  Evelyn Cecil	parsed:The Honble Mrs  Evelyn Cecil		cleaned_0index:0
?[Brietsard]				cleaned_0index:0
?[Cogun]				cleaned_0index:0
?[Cru]				cleaned_0index:0
?[G.Schweinfurth]				cleaned_0index:0
?[H Millin Teed]				cleaned_0index:0
?[H.F.]				cleaned_0index:0
?[H.P.]				cleaned_0index:0
?[L. Lanckmat]				cleaned_0index:0
?[Marantsetra]				cleaned_0index:0
?[R.Leconfle]				cleaned_0index:0
?[Reichenbach]				cleaned_0index:0
?[Rowley]				cleaned_0index:0
?[Ruigenberg]				cleaned_0index:0
?[de Caisne]				cleaned_0index:0
A				cleaned_0index:0
A .Aguilella & I. Mateu				cleaned_0index:0
A F.	A F.	parsed:A F.		cleaned_0index:0
A Oborny in Christ in F Crépin - Herbarium Rosarum	Herbarium Rosarum	parsed:A.Oborny in Christ in F Crépin<SEP>Herbarium Rosarum	cleaned:A. Oborny in Christ in F Crépin<SEP>	cleaned_0index:1
A W., Herb. François Crépin	A W.	parsed:A W.<SEP>Herb François Crépin	cleaned:<SEP>Herb François Crépin	cleaned_0index:0
A, i J. Kornasiowie	A	parsed:A<SEP>J. Kornasiowie	cleaned:<SEP>J. Kornasiowie	cleaned_0index:0
A. -M. & A. Gohimont				cleaned_0index:0
A. Andriessens in R. d'Hose				cleaned_0index:0
A. Araujo -M., A. Poma & A. Palabral				cleaned_0index:0
A. B	A. B	parsed:A. B		cleaned_0index:0
A. B[auy] [= Braun A.?]	A. B	parsed:A. B		cleaned_0index:0
A. Besga, M.A. Domingo, A., P.M. & X. Uribe-Echebarría	P.M. A.	parsed:A. Besga<SEP>M.A. Domingo<SEP>P.M. A.<SEP>X. Uribe-Echebarría	cleaned:A. Besga<SEP>M.A. Domingo<SEP><SEP>X. Uribe-Echebarría	cleaned_0index:2
A. Blytt in F. Crépin - Herbarium Rosarum	Herbarium Rosarum	parsed:A.Blytt in F. Crépin<SEP>Herbarium Rosarum	cleaned:A. Blytt in F. Crépin<SEP>	cleaned_0index:1
A. Blytt in Musée Christiania in F. Crépin - Herbarium rosarum	A. Blytt in Musée Christiania in F. Crépin	parsed:A. Blytt in Musée Christiania in F. Crépin<SEP>Herbarium rosarum	cleaned:<SEP>	cleaned_0index:0
A. Blytt in Musée Christiania in F. Crépin - Herbarium rosarum	Herbarium rosarum	parsed:A. Blytt in Musée Christiania in F. Crépin<SEP>Herbarium rosarum	cleaned:<SEP>	cleaned_0index:1
A. Boreau in Christ in F. Crépin - Herbarium Rosarum	Herbarium Rosarum	parsed:A.Boreau in Christ in F. Crépin<SEP>Herbarium Rosarum	cleaned:A. Boreau in Christ in F. Crépin<SEP>	cleaned_0index:1
A. Boreau in Dumortier in F. Crépin - Herbarium Rosarum	Herbarium Rosarum	parsed:A.Boreau in Dumortier in F. Crépin<SEP>Herbarium Rosarum	cleaned:A. Boreau in Dumortier in F. Crépin<SEP>	cleaned_0index:1
A. Borzée in Christ in F. Crépin - Herbarium Rosarum	Herbarium Rosarum	parsed:A.Borzée in Christ in F. Crépin<SEP>Herbarium Rosarum	cleaned:A. Borzée in Christ in F. Crépin<SEP>	cleaned_0index:1
A. Ch.	A. Ch.	parsed:A. Ch.		cleaned_0index:0
A. Chevalier, [mis]. l. Corbière				cleaned_0index:0
A. Colinet in J.-L. De Sloover in Herbier de l'Unité d' Ecologie et de Biogéographie (UCL)	A. Colinet in J.-L. De Sloover in Herbier de l'Unité d' Ecologie	parsed:A. Colinet in J.-L. De Sloover in Herbier de l'Unité d' Ecologie<SEP>de Biogéographie	cleaned:<SEP>de Biogéographie	cleaned_0index:0
A. D[] in Christ in F. Crépin - Herbarium Rosarum	A. D	parsed:A. D		cleaned_0index:0
A. De [Frin]	A. De	parsed:A. De		cleaned_0index:0
