source_data	related_parsed_name	parsed_names	cleaned_names	cleaned_index_name_of_empty_result
'Insub'				cleaned_0index:0
'Landloopers'				cleaned_0index:0
1989 Expedition to Sulawesi RMNH	Expedition to Sulawesi RMNH	parsed:Expedition to Sulawesi RMNH		cleaned_0index:0
8th Hainan Expedition	Hainan Expedition	parsed:Hainan Expedition		cleaned_0index:0
; Expedition Wilhelmina Mts	Expedition Wilhelmina Mts	parsed:Expedition Wilhelmina Mts		cleaned_0index:0
?				cleaned_0index:0
?; Ploeg DTE van der	Ploeg DTE van der	parsed:Ploeg DTE van der		cleaned_0index:0
?; Unknown				cleaned_0index:0
A				cleaned_0index:0
A P	A P	parsed:A P		cleaned_0index:0
AD				cleaned_0index:0
AER				cleaned_0index:0
AH				cleaned_0index:0
Aa HA van der	Aa HA van der	parsed:Aa HA van der		cleaned_0index:0
Aa HA van der; Elders MCC	Aa HA van der	parsed:Aa HA van der<SEP>M.C.C. Elders	cleaned:<SEP>M.C.C. Elders	cleaned_0index:0
Aa HA van der; Frencken JBM	Aa HA van der	parsed:Aa HA van der<SEP>J.B.M. Frencken	cleaned:<SEP>J.B.M. Frencken	cleaned_0index:0
Aa HA van der; Gams W	Aa HA van der	parsed:Aa HA van der<SEP>W. Gams	cleaned:<SEP>W. Gams	cleaned_0index:0
Aa HA van der; Gross G	Aa HA van der	parsed:Aa HA van der<SEP>G. Gross	cleaned:<SEP>G. Gross	cleaned_0index:0
Aa HA van der; Hoekx P	Aa HA van der	parsed:Aa HA van der<SEP>P. Hoekx	cleaned:<SEP>P. Hoekx	cleaned_0index:0
Aa HA van der; Immerzeel GJ	Aa HA van der	parsed:Aa HA van der<SEP>G.J. Immerzeel	cleaned:<SEP>G.J. Immerzeel	cleaned_0index:0
Aa HA van der; Kits van Waveren E; Bas C	Aa HA van der	parsed:Aa HA van der<SEP>Kits van Waveren E<SEP>C. Bas	cleaned:<SEP>Kits van Waveren E<SEP>C. Bas	cleaned_0index:0
Aa HA van der; Schotsman HD	Aa HA van der	parsed:Aa HA van der<SEP>H.D. Schotsman	cleaned:<SEP>H.D. Schotsman	cleaned_0index:0
Aa HA van der; Stalpers JA	Aa HA van der	parsed:Aa HA van der<SEP>J.A. Stalpers	cleaned:<SEP>J.A. Stalpers	cleaned_0index:0
Aa HA van der; Vries GA de	Aa HA van der	parsed:Aa HA van der<SEP>G.A. Vries	cleaned:<SEP>G.A. Vries	cleaned_0index:0
Aanen DK; Heijden L van der	Heijden L van der	parsed:D.K. Aanen<SEP>Heijden L van der	cleaned:D.K. Aanen<SEP>	cleaned_0index:1
Aart PJM van der	Aart PJM van der	parsed:Aart PJM van der		cleaned_0index:0
