recordedBy	occurrenceID_count	occurrenceID_first
(no. 14)	1	http://id.snsb.info/snsb/collection/108286/167064/109352
?	2	http://id.snsb.info/snsb/collection/518649/641910/300218
??	1	http://id.snsb.info/snsb/collection/519090/642351/300659
A. Azofeifa	2	https://herbarium.bgbm.org/object/B200211416
A. Cano,E.	1	https://herbarium.bgbm.org/object/B100699397
A. Henry	1	https://herbarium.bgbm.org/object/B200098813
A.d.Selmons	1	https://herbarium.bgbm.org/object/B100379213
AMR	1	https://herbarium.bgbm.org/object/B100184218
Aaronsohn,A.	3	https://je.jacq.org/JE00010154
Abbas al Ani, H.	1	http://id.snsb.info/snsb/collection/462713/563871/241553
Abbe,L.B., Abbe,E.C., Smitinand,T. & Rollet,B.	1	https://herbarium.bgbm.org/object/BGT0003826
Abbiw,D.K.	2	https://herbarium.bgbm.org/object/B180010225
Abbot	2	https://herbarium.bgbm.org/object/B100159967
Abbott, W.L. (no. 1248)	1	http://id.snsb.info/snsb/collection/504820/626155/283761
Abbott,J.R.	37	https://herbarium.bgbm.org/object/B100326808
Abbott,J.R. & Carlsward,B.	12	https://herbarium.bgbm.org/object/B100326811
Abbott,J.R. & Fleming,C.	1	https://herbarium.bgbm.org/object/B100326984
Abbott,J.R. & Griffin,D.	3	https://herbarium.bgbm.org/object/B100326998
Abbott,J.R. & Gulledge,K.	4	https://herbarium.bgbm.org/object/B100326803
Abbott,J.R. & Isaacs,L.C.	1	https://herbarium.bgbm.org/object/B100326992
Abbott,J.R. & Mamani,F.	1	https://herbarium.bgbm.org/object/B100326968
Abbott,J.R. & Mears,R.L.	1	https://herbarium.bgbm.org/object/B100326985
Abbott,J.R., Burns,T. & Clark,M.	1	https://herbarium.bgbm.org/object/B100326990
Abbott,J.R., Judd W.S., Skean,J.D. & Judd,R.	17	https://herbarium.bgbm.org/object/B100326844
Abbott,J.R., Thompson,R.L. & Shupe,A.	1	https://herbarium.bgbm.org/object/B100326993
Abbott,W.L.	3	https://herbarium.bgbm.org/object/B100242585
Abbé	2	https://dr.jacq.org/DR074132
Abd El-Ghani,M.M.	3	https://herbarium.bgbm.org/object/B100158734
Abd-ur-Rahman,N.	1	https://herbarium.bgbm.org/object/B100160643
Abdelkrim & Wanke,S.	1	https://dr.jacq.org/DR052220
Abedin,S.	8	https://herbarium.bgbm.org/object/B100046955
Abedin,S. & Abrar Hussain	1	https://herbarium.bgbm.org/object/B100240364
Abedin,S. & Husein,A.	1	https://herbarium.bgbm.org/object/B100844039
Abedin,S. & Hussein,A.	1	https://herbarium.bgbm.org/object/B100046632
Abedin,S. & Qaiser,M.	3	https://herbarium.bgbm.org/object/B100157293
Abeinaen,B., Oganesian,M. & Daubyn,Z.	1	https://herbarium.bgbm.org/object/B100847062
Abel	1	https://herbarium.bgbm.org/object/B100384250
Abel el Khalek	1	https://herbarium.bgbm.org/object/B100763849
Abenhausen,H.H.	2	https://herbarium.bgbm.org/object/B180005984
Abner	1	https://herbarium.bgbm.org/object/B180021124
Abouhamzeh, J.	7	http://id.snsb.info/snsb/collection/469500/575803/248452
Abraham,S.L.	2	https://herbarium.bgbm.org/object/B200051640
Abrak,H.	1	https://herbarium.bgbm.org/object/B100474742
Abramov	1	https://dr.jacq.org/DR071678
Abrams,L.R.	1	https://herbarium.bgbm.org/object/B100239753
Acebey, A. (no. 563)	1	http://id.snsb.info/snsb/collection/719469/786048/423570
Acebey, A.C.	1	http://id.snsb.info/snsb/collection/501079/622298/279882
Acebey,A.	1	https://herbarium.bgbm.org/object/B100710974
Acevedo-Rodriguez,P., Bell,D.A., Rankin,K. & Smith,S.F.	1	https://herbarium.bgbm.org/object/B100312933
Achten,L.	2	https://herbarium.bgbm.org/object/B100159627
Achverdov	5	https://herbarium.bgbm.org/object/B100355320
Achverdov & Mirzoeva [Мирзоева]	6	https://herbarium.bgbm.org/object/B100157987
Ackermann	3	https://herbarium.bgbm.org/object/B100247810
Ackermann, M. (no. 647)	1	http://id.snsb.info/snsb/collection/444683/544886/227537
Ackermann,M.	10	https://herbarium.bgbm.org/object/B100349102
Ackermann,M. & Caceras,F.	5	https://herbarium.bgbm.org/object/B100112288
Ackermann,M. & Caceres,F.	2	https://herbarium.bgbm.org/object/B100390807
