source_data	parsed_names	cleaned_names	name_index_of_empty_result
?	parsed:	cleaned:	cleaned_index0:0
??	parsed:	cleaned:	cleaned_index0:0
AMR	parsed:	cleaned:	cleaned_index0:0
Abbé	parsed:	cleaned:	cleaned_index0:0
Allioni,M. Rev.	parsed:	cleaned:	cleaned_index0:0
American-Iranian Botanical Delegation (no. 33614)	parsed:American-Iranian Botanical Delegation	cleaned:	cleaned_index0:0
American-Iranian Botanical Delegation (no. 33634)	parsed:American-Iranian Botanical Delegation	cleaned:	cleaned_index0:0
American-Iranian Botanical Delegation (no. 33643)	parsed:American-Iranian Botanical Delegation	cleaned:	cleaned_index0:0
American-Iranian Botanical Delegation (no. 33705)	parsed:American-Iranian Botanical Delegation	cleaned:	cleaned_index0:0
American-Iranian Botanical Delegation (no. 33796)	parsed:American-Iranian Botanical Delegation	cleaned:	cleaned_index0:0
American-Iranian Botanical Delegation (no. 35308)	parsed:American-Iranian Botanical Delegation	cleaned:	cleaned_index0:0
Anderson,W.R., Stieber,M. & Kirkbride Jr.,J.H.	parsed:	cleaned:	cleaned_index0:0
Anonymous	parsed:	cleaned:	cleaned_index0:0
Anonymous (Herbarium Linnaeanum)	parsed:	cleaned:	cleaned_index0:0
Anonymous (no. +43)	parsed:	cleaned:	cleaned_index0:0
Anonymous (no. 1012)	parsed:	cleaned:	cleaned_index0:0
Anonymous (no. 107)	parsed:	cleaned:	cleaned_index0:0
Anonymous (no. 10730)	parsed:	cleaned:	cleaned_index0:0
Anonymous (no. 108)	parsed:	cleaned:	cleaned_index0:0
Anonymous (no. 109)	parsed:	cleaned:	cleaned_index0:0
Anonymous (no. 11)	parsed:	cleaned:	cleaned_index0:0
Anonymous (no. 1124)	parsed:	cleaned:	cleaned_index0:0
Anonymous (no. 113)	parsed:	cleaned:	cleaned_index0:0
Anonymous (no. 115)	parsed:	cleaned:	cleaned_index0:0
Anonymous (no. 12)	parsed:	cleaned:	cleaned_index0:0
Anonymous (no. 1215)	parsed:	cleaned:	cleaned_index0:0
Anonymous (no. 122)	parsed:	cleaned:	cleaned_index0:0
Anonymous (no. 13)	parsed:	cleaned:	cleaned_index0:0
Anonymous (no. 137)	parsed:	cleaned:	cleaned_index0:0
Anonymous (no. 139)	parsed:	cleaned:	cleaned_index0:0
Anonymous (no. 14)	parsed:	cleaned:	cleaned_index0:0
Anonymous (no. 141)	parsed:	cleaned:	cleaned_index0:0
Anonymous (no. 149)	parsed:	cleaned:	cleaned_index0:0
Anonymous (no. 153)	parsed:	cleaned:	cleaned_index0:0
Anonymous (no. 16)	parsed:	cleaned:	cleaned_index0:0
Anonymous (no. 169)	parsed:	cleaned:	cleaned_index0:0
Anonymous (no. 1698)	parsed:	cleaned:	cleaned_index0:0
Anonymous (no. 17)	parsed:	cleaned:	cleaned_index0:0
Anonymous (no. 173)	parsed:	cleaned:	cleaned_index0:0
Anonymous (no. 1824)	parsed:	cleaned:	cleaned_index0:0
Anonymous (no. 188)	parsed:	cleaned:	cleaned_index0:0
Anonymous (no. 19)	parsed:	cleaned:	cleaned_index0:0
Anonymous (no. 2)	parsed:	cleaned:	cleaned_index0:0
Anonymous (no. 20)	parsed:	cleaned:	cleaned_index0:0
Anonymous (no. 204)	parsed:	cleaned:	cleaned_index0:0
Anonymous (no. 207)	parsed:	cleaned:	cleaned_index0:0
Anonymous (no. 21)	parsed:	cleaned:	cleaned_index0:0
Anonymous (no. 21/1)	parsed:	cleaned:	cleaned_index0:0
Anonymous (no. 21/2)	parsed:	cleaned:	cleaned_index0:0
Anonymous (no. 210)	parsed:	cleaned:	cleaned_index0:0
Anonymous (no. 213)	parsed:	cleaned:	cleaned_index0:0
Anonymous (no. 224)	parsed:	cleaned:	cleaned_index0:0
Anonymous (no. 23)	parsed:	cleaned:	cleaned_index0:0
Anonymous (no. 235)	parsed:	cleaned:	cleaned_index0:0
Anonymous (no. 243)	parsed:	cleaned:	cleaned_index0:0
Anonymous (no. 26)	parsed:	cleaned:	cleaned_index0:0
Anonymous (no. 264)	parsed:	cleaned:	cleaned_index0:0
Anonymous (no. 2852)	parsed:	cleaned:	cleaned_index0:0
Anonymous (no. 287)	parsed:	cleaned:	cleaned_index0:0
Anonymous (no. 296)	parsed:	cleaned:	cleaned_index0:0
Anonymous (no. 3)	parsed:	cleaned:	cleaned_index0:0
Anonymous (no. 329)	parsed:	cleaned:	cleaned_index0:0
Anonymous (no. 3356)	parsed:	cleaned:	cleaned_index0:0
Anonymous (no. 34)	parsed:	cleaned:	cleaned_index0:0
Anonymous (no. 341)	parsed:	cleaned:	cleaned_index0:0
Anonymous (no. 3411b)	parsed:	cleaned:	cleaned_index0:0
Anonymous (no. 35)	parsed:	cleaned:	cleaned_index0:0
Anonymous (no. 354)	parsed:	cleaned:	cleaned_index0:0
Anonymous (no. 357)	parsed:	cleaned:	cleaned_index0:0
Anonymous (no. 359)	parsed:	cleaned:	cleaned_index0:0
Anonymous (no. 36)	parsed:	cleaned:	cleaned_index0:0
Anonymous (no. 37)	parsed:	cleaned:	cleaned_index0:0
Anonymous (no. 372)	parsed:	cleaned:	cleaned_index0:0
Anonymous (no. 3743)	parsed:	cleaned:	cleaned_index0:0
Anonymous (no. 377)	parsed:	cleaned:	cleaned_index0:0
Anonymous (no. 386)	parsed:	cleaned:	cleaned_index0:0
Anonymous (no. 39)	parsed:	cleaned:	cleaned_index0:0
Anonymous (no. 3927)	parsed:	cleaned:	cleaned_index0:0
Anonymous (no. 4094)	parsed:	cleaned:	cleaned_index0:0
Anonymous (no. 41)	parsed:	cleaned:	cleaned_index0:0
Anonymous (no. 413)	parsed:	cleaned:	cleaned_index0:0
Anonymous (no. 419)	parsed:	cleaned:	cleaned_index0:0
Anonymous (no. 45)	parsed:	cleaned:	cleaned_index0:0
Anonymous (no. 452)	parsed:	cleaned:	cleaned_index0:0
Anonymous (no. 470)	parsed:	cleaned:	cleaned_index0:0
Anonymous (no. 473)	parsed:	cleaned:	cleaned_index0:0
Anonymous (no. 49)	parsed:	cleaned:	cleaned_index0:0
Anonymous (no. 5)	parsed:	cleaned:	cleaned_index0:0
Anonymous (no. 542)	parsed:	cleaned:	cleaned_index0:0
Anonymous (no. 58)	parsed:	cleaned:	cleaned_index0:0
Anonymous (no. 61)	parsed:	cleaned:	cleaned_index0:0
Anonymous (no. 6111)	parsed:	cleaned:	cleaned_index0:0
Anonymous (no. 69)	parsed:	cleaned:	cleaned_index0:0
Anonymous (no. 73)	parsed:	cleaned:	cleaned_index0:0
Anonymous (no. 7338)	parsed:	cleaned:	cleaned_index0:0
Anonymous (no. 77)	parsed:	cleaned:	cleaned_index0:0
Anonymous (no. 790)	parsed:	cleaned:	cleaned_index0:0
Anonymous (no. 85)	parsed:	cleaned:	cleaned_index0:0
Anonymous (no. 87)	parsed:	cleaned:	cleaned_index0:0
Anonymous (no. 9)	parsed:	cleaned:	cleaned_index0:0
Anonymous (no. 90)	parsed:	cleaned:	cleaned_index0:0
Anonymous (no. 91)	parsed:	cleaned:	cleaned_index0:0
Anonymous (no. 92)	parsed:	cleaned:	cleaned_index0:0
Anonymous (no. 93)	parsed:	cleaned:	cleaned_index0:0
Anonymous (no. 96)	parsed:	cleaned:	cleaned_index0:0
Anonymous (no. 97)	parsed:	cleaned:	cleaned_index0:0
Anonymous (no. 9758)	parsed:	cleaned:	cleaned_index0:0
Anonymous (no. 99)	parsed:	cleaned:	cleaned_index0:0
