source_data	related_parsed_name	parsed_names	cleaned_names	cleaned_index_name_of_empty_result
?				cleaned_0index:0
??				cleaned_0index:0
AMR				cleaned_0index:0
Abbé				cleaned_0index:0
Allioni,M. Rev.				cleaned_0index:0
American-Iranian Botanical Delegation (no. 33614)	American-Iranian Botanical Delegation	parsed:American-Iranian Botanical Delegation		cleaned_0index:0
American-Iranian Botanical Delegation (no. 33634)	American-Iranian Botanical Delegation	parsed:American-Iranian Botanical Delegation		cleaned_0index:0
American-Iranian Botanical Delegation (no. 33643)	American-Iranian Botanical Delegation	parsed:American-Iranian Botanical Delegation		cleaned_0index:0
American-Iranian Botanical Delegation (no. 33705)	American-Iranian Botanical Delegation	parsed:American-Iranian Botanical Delegation		cleaned_0index:0
American-Iranian Botanical Delegation (no. 33796)	American-Iranian Botanical Delegation	parsed:American-Iranian Botanical Delegation		cleaned_0index:0
American-Iranian Botanical Delegation (no. 35308)	American-Iranian Botanical Delegation	parsed:American-Iranian Botanical Delegation		cleaned_0index:0
Anderson,W.R., Stieber,M. & Kirkbride Jr.,J.H.				cleaned_0index:0
Anonymous				cleaned_0index:0
Anonymous (Herbarium Linnaeanum)				cleaned_0index:0
Anonymous (no. +43)				cleaned_0index:0
Anonymous (no. 1012)				cleaned_0index:0
Anonymous (no. 107)				cleaned_0index:0
Anonymous (no. 10730)				cleaned_0index:0
Anonymous (no. 108)				cleaned_0index:0
Anonymous (no. 109)				cleaned_0index:0
Anonymous (no. 11)				cleaned_0index:0
Anonymous (no. 1124)				cleaned_0index:0
Anonymous (no. 113)				cleaned_0index:0
Anonymous (no. 115)				cleaned_0index:0
Anonymous (no. 12)				cleaned_0index:0
Anonymous (no. 1215)				cleaned_0index:0
Anonymous (no. 122)				cleaned_0index:0
Anonymous (no. 13)				cleaned_0index:0
Anonymous (no. 137)				cleaned_0index:0
Anonymous (no. 139)				cleaned_0index:0
Anonymous (no. 14)				cleaned_0index:0
Anonymous (no. 141)				cleaned_0index:0
Anonymous (no. 149)				cleaned_0index:0
Anonymous (no. 153)				cleaned_0index:0
Anonymous (no. 16)				cleaned_0index:0
Anonymous (no. 169)				cleaned_0index:0
Anonymous (no. 1698)				cleaned_0index:0
Anonymous (no. 17)				cleaned_0index:0
Anonymous (no. 173)				cleaned_0index:0
Anonymous (no. 1824)				cleaned_0index:0
Anonymous (no. 188)				cleaned_0index:0
Anonymous (no. 19)				cleaned_0index:0
Anonymous (no. 2)				cleaned_0index:0
Anonymous (no. 20)				cleaned_0index:0
Anonymous (no. 204)				cleaned_0index:0
Anonymous (no. 207)				cleaned_0index:0
Anonymous (no. 21)				cleaned_0index:0
Anonymous (no. 21/1)				cleaned_0index:0
Anonymous (no. 21/2)				cleaned_0index:0
Anonymous (no. 210)				cleaned_0index:0
Anonymous (no. 213)				cleaned_0index:0
Anonymous (no. 224)				cleaned_0index:0
Anonymous (no. 23)				cleaned_0index:0
Anonymous (no. 235)				cleaned_0index:0
Anonymous (no. 243)				cleaned_0index:0
Anonymous (no. 26)				cleaned_0index:0
Anonymous (no. 264)				cleaned_0index:0
Anonymous (no. 2852)				cleaned_0index:0
Anonymous (no. 287)				cleaned_0index:0
Anonymous (no. 296)				cleaned_0index:0
Anonymous (no. 3)				cleaned_0index:0
Anonymous (no. 329)				cleaned_0index:0
Anonymous (no. 3356)				cleaned_0index:0
Anonymous (no. 34)				cleaned_0index:0
Anonymous (no. 341)				cleaned_0index:0
Anonymous (no. 3411b)				cleaned_0index:0
Anonymous (no. 35)				cleaned_0index:0
Anonymous (no. 354)				cleaned_0index:0
Anonymous (no. 357)				cleaned_0index:0
Anonymous (no. 359)				cleaned_0index:0
Anonymous (no. 36)				cleaned_0index:0
Anonymous (no. 37)				cleaned_0index:0
Anonymous (no. 372)				cleaned_0index:0
Anonymous (no. 3743)				cleaned_0index:0
Anonymous (no. 377)				cleaned_0index:0
Anonymous (no. 386)				cleaned_0index:0
Anonymous (no. 39)				cleaned_0index:0
Anonymous (no. 3927)				cleaned_0index:0
Anonymous (no. 4094)				cleaned_0index:0
Anonymous (no. 41)				cleaned_0index:0
Anonymous (no. 413)				cleaned_0index:0
Anonymous (no. 419)				cleaned_0index:0
Anonymous (no. 45)				cleaned_0index:0
Anonymous (no. 452)				cleaned_0index:0
Anonymous (no. 470)				cleaned_0index:0
Anonymous (no. 473)				cleaned_0index:0
Anonymous (no. 49)				cleaned_0index:0
Anonymous (no. 5)				cleaned_0index:0
Anonymous (no. 542)				cleaned_0index:0
Anonymous (no. 58)				cleaned_0index:0
Anonymous (no. 61)				cleaned_0index:0
Anonymous (no. 6111)				cleaned_0index:0
Anonymous (no. 69)				cleaned_0index:0
Anonymous (no. 73)				cleaned_0index:0
Anonymous (no. 7338)				cleaned_0index:0
Anonymous (no. 77)				cleaned_0index:0
Anonymous (no. 790)				cleaned_0index:0
Anonymous (no. 85)				cleaned_0index:0
Anonymous (no. 87)				cleaned_0index:0
Anonymous (no. 9)				cleaned_0index:0
Anonymous (no. 90)				cleaned_0index:0
Anonymous (no. 91)				cleaned_0index:0
Anonymous (no. 92)				cleaned_0index:0
Anonymous (no. 93)				cleaned_0index:0
Anonymous (no. 96)				cleaned_0index:0
Anonymous (no. 97)				cleaned_0index:0
Anonymous (no. 9758)				cleaned_0index:0
Anonymous (no. 99)				cleaned_0index:0
Anonymous (no. HB 14454)				cleaned_0index:0
Anonymous (no. MG10155)				cleaned_0index:0
Anonymous (no. s.n.)				cleaned_0index:0
Anonymous collector				cleaned_0index:0
Anonymous collectors				cleaned_0index:0
Anonymous et al.				cleaned_0index:0
Anonymous in Herb. Zuccarinii				cleaned_0index:0
Anonymous in Herb. Zuxccarinii				cleaned_0index:0
Anonymous in Herb. Zwackh				cleaned_0index:0
Ariste,Bro.				cleaned_0index:0
Benavides de, O.				cleaned_0index:0
Bieberstein,F.A. Marschall v.	F.A. Marschall v. Bieberstein	parsed:F.A. Marschall v. Bieberstein		cleaned_0index:0
Biltmore Herbarium	Biltmore Herbarium	parsed:Biltmore Herbarium		cleaned_0index:0
Bollendorff,S., Dang,T.T.H., Le,N.H., Nguyen,G.D., Raab-Straube,E.v. & Truong,B.V.	N.H. Le	parsed:S. Bollendorff<SEP>T.T.H. Dang<SEP>N.H. Le<SEP>G.D. Nguyen<SEP>Ev Raab-Straube<SEP>B.V. Truong	cleaned:S. Bollendorff<SEP>T.T.H. Dang<SEP><SEP>G.D. Nguyen<SEP>Ev Raab-Straube<SEP>B.V. Truong	cleaned_0index:2
Bowie,F.G. Rev.				cleaned_0index:0
"Braun (""de Bayreuth"")"				cleaned_0index:0
Chavez de,L.				cleaned_0index:0
Chingai-Tibetan Complex Exp. (no. 75-5701)				cleaned_0index:0
Chrismar von				cleaned_0index:0
Christenhusz M.J.M., Cárdenas-Ramires,GG &.Vasquez-Pined,J.				cleaned_0index:0
Clare,Sister Mary				cleaned_0index:0
"Clemens, M.S. (no. ""K"")"				cleaned_0index:0
"Clemens, M.S. (no. ""W"")"				cleaned_0index:0
Clemente Bro.				cleaned_0index:0
Cornell Tropical Botany Field Trip (no. 13)	Cornell Tropical Botany Field Trip	parsed:Cornell Tropical Botany Field Trip		cleaned_0index:0
Crivitz von				cleaned_0index:0
Deiß,Dr.				cleaned_0index:0
Desconocido	Desconocido	parsed:Desconocido		cleaned_0index:0
Diez,E. & Pastor & Silvestre				cleaned_0index:0
Dos...	Dos	parsed:Dos		cleaned_0index:0
Drude & unclear	unclear	parsed:Drude<SEP>unclear	cleaned:Drude<SEP>	cleaned_0index:1
Duclair	Duclair	parsed:Duclair		cleaned_0index:0
Dumont d'Urville,J.S.C.				cleaned_0index:0
Duwe,V., Lakmann,Dr. & Wanke,R.				cleaned_0index:0
Elias Bro.				cleaned_0index:0
Espirito Santo Explorações Botanicas (no. 3530)	Espirito Santo Explorações Botanicas	parsed:Espirito Santo Explorações Botanicas		cleaned_0index:0
Espirito santo exploracoes botanicas (no. 3115)	Espirito santo exploracoes botanicas	parsed:Espirito santo exploracoes botanicas		cleaned_0index:0
Exkursionsteilnehmer	Exkursionsteilnehmer	parsed:Exkursionsteilnehmer		cleaned_0index:0
Exped. Gansu et Qinghai Acad. Sin. (no. 1029)	Exped. Gansu	parsed:Exped. Gansu<SEP>Qinghai Acad Sin	cleaned:<SEP>Qinghai Acad Sin	cleaned_0index:0
Farkas-Vukotinovich, L. von				cleaned_0index:0
Farkaš-Vukotinović,L. von				cleaned_0index:0
Farmer Braun	Farmer Braun	parsed:Farmer Braun		cleaned_0index:0
Flatt de,C.				cleaned_0index:0
Forsyth Jr., W.				cleaned_0index:0
Forsyth-Major,C.I. & Halácsy,E. von				cleaned_0index:0
Galán,P. & Montenegro,S.M.				cleaned_0index:0
Gi				cleaned_0index:0
Glenie, Rev. S. Owen				cleaned_0index:0
Goetzen Graf von & Maire,C.	Goetzen Graf von	parsed:Goetzen Graf von<SEP>C. Maire	cleaned:<SEP>C. Maire	cleaned_0index:0
Government Botanist, Melbourne	Government Botanist	parsed:Government Botanist<SEP>Melbourne	cleaned:<SEP>Melbourne	cleaned_0index:0
Granville de,J.-J.				cleaned_0index:0
Granville de,J.-J., Berg,C.C., Jansen-Jacobs,M.J. & van Setten,A.K.				cleaned_0index:0
Granville de,J.-J., Crozier,F. & Sarthou,C.				cleaned_0index:0
Grupo Ecológico Cantón La Bermuda	Grupo Ecológico Cantón La	parsed:Grupo Ecológico Cantón La		cleaned_0index:0
Güldenstädt von				cleaned_0index:0
H u. S	H u. S	parsed:H u. S		cleaned_0index:0
H. d. D. T.	H. d. D. T.	parsed:H. d. D. T.		cleaned_0index:0
HBC				cleaned_0index:0
Hammel,B., Chatrou,L., Pérez,I., Poel van de,J. & Wilschut,R.	J. Poel van de	parsed:B. Hammel<SEP>L. Chatrou<SEP>I. Pérez<SEP>J. Poel van de<SEP>R. Wilschut	cleaned:B. Hammel<SEP>L. Chatrou<SEP>I. Pérez<SEP><SEP>R. Wilschut	cleaned_0index:3
Hand,R. & GEFD-Exkursion	GEFD-Exkursion	parsed:R. Hand<SEP>GEFD-Exkursion	cleaned:R. Hand<SEP>	cleaned_0index:1
Handel-Mazzetti, H.R.E. von				cleaned_0index:0
Handel-Mazzetti,H.R.E. von				cleaned_0index:0
Handel-Mazzetti,Heinrich von				cleaned_0index:0
Heldreich De	Heldreich De	parsed:Heldreich De		cleaned_0index:0
Heldreich De & Halácsy,E. von	De	parsed:von Heldreich<SEP>De<SEP>E. Halácsy	cleaned:von Heldreich<SEP><SEP>E. Halácsy	cleaned_0index:1
Herbarium Zuccarinii.	Herbarium Zuccarinii.	parsed:Herbarium Zuccarinii.		cleaned_0index:0
