,family,given,suffix,particle,dropping_particle,nick,appellation,title,canonical_string_collector_parsed,occurrenceID_collectors_count,occurrenceID_collectors_firstsample,index,namematch_collector,namematch_wikidata,namematch_distance
2,Aaronsohn,A.,,,,,,,"Aaronsohn, A.",3,https://je.jacq.org/JE00010154,11490,"Aaronsohn, A.","Aaronsohn, A.",0.0
7,Abbe,E.C.,,,,,,,"Abbe, E.C.",2,https://herbarium.bgbm.org/object/B100241637,12858,"Abbe, E.C.","Abbe, E.C.",0.0
11,Abbott,J.R.,,,,,,,"Abbott, J.R.",80,https://herbarium.bgbm.org/object/B100181131,14283,"Abbott, J.R.","Abbott, J.R.",0.0
13,Abbott,W.L.,,,,,,,"Abbott, W.L.",4,http://id.snsb.info/snsb/collection/504820/626155/283761,4010,"Abbott, W.L.","Abbott, W.L.",0.0
19,Abedin,S.,,,,,,,"Abedin, S.",14,https://herbarium.bgbm.org/object/B100046632,19275,"Abedin, S.","Abedin, S.",0.0
32,Acebey,A.,,,,,,,"Acebey, A.",6,http://id.snsb.info/snsb/collection/719469/786048/423570,13066,"Acebey, A.","Acebey, A.",0.0
45,Ackermann,M.,,,,,,,"Ackermann, M.",34,http://id.snsb.info/snsb/collection/444683/544886/227537,7563,"Ackermann, M.","Ackermann, M.",0.0
48,Acocks,J.P.H.,,,,,,,"Acocks, J.P.H.",17,http://id.snsb.info/snsb/collection/15773/24491/15593,16569,"Acocks, J.P.H.","Acocks, J.P.H.",0.0
50,Acosta,J.M.,,,,,,,"Acosta, J.M.",3,https://herbarium.bgbm.org/object/B101009972,686,"Acosta, J.M.","Acosta, J.M.",0.0
51,Acosta,L.,,,,,,,"Acosta, L.",538,https://herbarium.bgbm.org/object/B100542413,15296,"Acosta, L.","Acosta, L.",0.0
63,Adamović,L.,,,,,,,"Adamović, L.",36,https://je.jacq.org/JE00017664,578,"Adamović, L.","Adamović, L.",0.0
64,Adamovič,L.,,,,,,,"Adamovič, L.",3,http://id.snsb.info/snsb/collection/464847/566421/243693,14090,"Adamovič, L.","Adamović, L.",0.0
67,Adams,C.D.,,,,,,,"Adams, C.D.",7,http://id.snsb.info/snsb/collection/25541/34319/25105,19631,"Adams, C.D.","Adams, C.D.",0.0
69,Adams,L.G.,,,,,,,"Adams, L.G.",5,https://herbarium.bgbm.org/object/B100365285,5493,"Adams, L.G.","Adams, L.G.",0.0
73,Adamson,J.,,,,,,,"Adamson, J.",1,https://herbarium.bgbm.org/object/B100057312,11551,"Adamson, J.","Adamson, J.",0.0
77,Ade,A.,,,,,,,"Ade, A.",4,http://id.snsb.info/snsb/collection/513255/635847/292856,3479,"Ade, A.","Ade, A.",0.0
89,Adler,W.,,,,,,,"Adler, W.",6,https://herbarium.bgbm.org/object/B101191388,15011,"Adler, W.","Adler, W.",0.0
91,Adolphi,K.,,,,,,,"Adolphi, K.",3,https://herbarium.bgbm.org/object/B100463717,2100,"Adolphi, K.","Adolphi, K.",0.0
93,Adıgüzel,N.,,,,,,,"Adıgüzel, N.",1,https://je.jacq.org/JE00013121,13314,"Adıgüzel, N.","Adıgüzel, N.",0.0
95,Aedo,C.,,,,,,,"Aedo, C.",53,https://herbarium.bgbm.org/object/B101037507,9490,"Aedo, C.","Aedo, C.",0.0
96,Aellen,P.,,,,,,,"Aellen, P.",66,http://id.snsb.info/snsb/collection/459127/559829/237976,9029,"Aellen, P.","Aellen, P.",0.0
103,Afonina,O.M.,,,,,,,"Afonina, O.M.",2,https://je.jacq.org/JE04009152,4586,"Afonina, O.M.","Afonina, O.M.",0.0
107,Afzelius,A.,,,,,,,"Afzelius, A.",11,https://herbarium.bgbm.org/object/B100068937,19332,"Afzelius, A.","Afzelius, A.",0.0
112,Agnew,A.D.Q.,,,,,,,"Agnew, A.D.Q.",2,https://herbarium.bgbm.org/object/B100217805,16905,"Agnew, A.D.Q.","Agnew, A.D.Q.",0.0
115,Aguiar,C.,,,,,,,"Aguiar, C.",1,https://herbarium.bgbm.org/object/B101137576,8187,"Aguiar, C.","Aguiar, C.",0.0
120,Aguilar,J.,,,,,,,"Aguilar, J.",27,https://herbarium.bgbm.org/object/B100043178,5359,"Aguilar, J.","Aguilar, J.",0.0
125,Aguilar,R.,,,,,,,"Aguilar, R.",126,https://herbarium.bgbm.org/object/B100459555,15943,"Aguilar, R.","Aguilar, R.",0.0
126,Aguilella,A.,,,,,,,"Aguilella, A.",4,https://herbarium.bgbm.org/object/B100358370,11374,"Aguilella, A.","Aguilella, A.",0.0
131,Aguirre,J.,,,,,,,"Aguirre, J.",4,https://herbarium.bgbm.org/object/B300230830,13083,"Aguirre, J.","Aguirre, J.",0.0
134,Ahern,G.P.,,,,,,,"Ahern, G.P.",3,http://id.snsb.info/snsb/collection/645990/701050/351640,1861,"Ahern, G.P.","Ahern, G.P.",0.0
141,Ahles,H.E.,,,,,,,"Ahles, H.E.",1,https://herbarium.bgbm.org/object/B101224042,4818,"Ahles, H.E.","Ahles, H.E.",0.0
144,Ahmad,N.,,,,,,,"Ahmad, N.",2,https://herbarium.bgbm.org/object/B100848610,15269,"Ahmad, N.","Ahmad, N.",0.0
145,Ahmad,S.,,,,,,,"Ahmad, S.",4,https://herbarium.bgbm.org/object/B101097885,14910,"Ahmad, S.","Ahmad, S.",0.0
150,Ahti,T.T.,,,,,,,"Ahti, T.T.",15,https://herbarium.bgbm.org/object/B600325604,3095,"Ahti, T.T.","Ahti, T.T.",0.0
151,Ahumada,L.Z.,,,,,,,"Ahumada, L.Z.",1,http://id.snsb.info/snsb/collection/512566/635026/292131,15133,"Ahumada, L.Z.","Ahumada, L.Z.",0.0
158,Aitchison,J.E.T.,,,,,,,"Aitchison, J.E.T.",19,http://id.snsb.info/snsb/collection/469029/575332/247981,15764,"Aitchison, J.E.T.","Aitchison, J.E.T.",0.0
160,Aiton,G.B.,,,,,,,"Aiton, G.B.",1,https://dr.jacq.org/DR050107,11048,"Aiton, G.B.","Aiton, G.B.",0.0
161,Aiton,W.T.,,,,,,,"Aiton, W.T.",1,https://herbarium.bgbm.org/object/BW19753010,8583,"Aiton, W.T.","Aiton, W.T.",0.0
167,Akan,H.,,,,,,,"Akan, H.",1,https://herbarium.bgbm.org/object/B100009765,10197,"Akan, H.","Akan, H.",0.0
170,Akeroyd,J.R.,,,,,,,"Akeroyd, J.R.",7,https://herbarium.bgbm.org/object/B100025123,17573,"Akeroyd, J.R.","Akeroyd, J.R.",0.0
171,Akhani,H.,,,,,,,"Akhani, H.",18,http://id.snsb.info/snsb/collection/118034/176834/119064,9865,"Akhani, H.","Akhani, H.",0.0
177,Akiyama,H.,,,,,,,"Akiyama, H.",1,https://je.jacq.org/JE04009352,18564,"Akiyama, H.","Akiyama, H.",0.0
178,Akopian,J.,,,,,,,"Akopian, J.",140,https://herbarium.bgbm.org/object/B100506411,7516,"Akopian, J.","Akopian, J.",0.0
182,Al Gifri,A.N.,,,,,,,"Al Gifri, A.N.",73,https://herbarium.bgbm.org/object/B100132290,384,"Al Gifri, A.N.","Al-Gifri, A.N.",0.0
188,Al-Gifri,A.N.,,,,,,,"Al-Gifri, A.N.",272,https://herbarium.bgbm.org/object/B100140651,17926,"Al-Gifri, A.N.","Al-Gifri, A.N.",0.0
212,Albert,A.,,,,,,,"Albert, A.",1,https://je.jacq.org/JE00007598,3650,"Albert, A.","Albert, A.",0.0
213,Albert,R.,,,,,,,"Albert, R.",2,https://herbarium.bgbm.org/object/B100650533,2156,"Albert, R.","Albert, R.",0.0
220,Albo,G.,,,,,,,"Albo, G.",1,http://id.snsb.info/snsb/collection/459414/560115/238263,7792,"Albo, G.","Albo, G.",0.0
224,Albov,N.M.,,,,,,,"Albov, N.M.",7,https://je.jacq.org/JE00003269,14694,"Albov, N.M.","Albov, N.M.",0.0
226,Albrecht,D.E.,,,,,,,"Albrecht, D.E.",1,http://id.snsb.info/snsb/collection/475169/585023/256395,7425,"Albrecht, D.E.","Albrecht, D.E.",0.0
237,Aldasoro,J.J.,,,,,,,"Aldasoro, J.J.",11,https://herbarium.bgbm.org/object/B101042604,13941,"Aldasoro, J.J.","Aldasoro, J.J.",0.0
243,Alejandre,J.A.,,,,,,,"Alejandre, J.A.",3,https://herbarium.bgbm.org/object/B101135657,6847,"Alejandre, J.A.","Alejandre, J.A.",0.0
251,Alexander,D.,,,,,,,"Alexander, D.",11,https://herbarium.bgbm.org/object/B100037054,12049,"Alexander, D.","Alexander, D.",0.0
263,Alfaro,E.,,,,,,,"Alfaro, E.",310,https://herbarium.bgbm.org/object/B100459206,16917,"Alfaro, E.","Alfaro, E.",0.0
268,Alford,M.H.,,,,,,,"Alford, M.H.",1,https://herbarium.bgbm.org/object/B100161498,13761,"Alford, M.H.","Alford, M.H.",0.0
274,Allard,G.,,,,,,,"Allard, G.",1,https://herbarium.bgbm.org/object/B100256202,12413,"Allard, G.","Allard, G.",0.0
278,Allen,B.H.,,,,,,,"Allen, B.H.",1,https://je.jacq.org/JE04008163,19598,"Allen, B.H.","Allen, B.H.",0.0
281,Allen,O.D.,,,,,,,"Allen, O.D.",7,http://id.snsb.info/snsb/collection/455533/556061/235013,2809,"Allen, O.D.","Allen, O.D.",0.0
282,Allen,P.H.,,,,,,,"Allen, P.H.",6,http://id.snsb.info/snsb/collection/479594/590636/260573,8733,"Allen, P.H.","Allen, P.H.",0.0
285,Allioni,C.,,,,,,,"Allioni, C.",14,http://id.snsb.info/snsb/collection/458948/559647/237797,17066,"Allioni, C.","Allioni, C.",0.0
287,Allison,K.W.,,,,,,,"Allison, K.W.",28,https://je.jacq.org/JE04003027,3165,"Allison, K.W.","Allison, K.W.",0.0
