source_data	related_parsed_name	parsed_names	cleaned_names	cleaned_index_name_of_empty_result
1980 - Sino- American Botanical Expedition				cleaned_0index:0
20. 8.201 3 & Delage, A.				cleaned_0index:0
20. IX. 1957 & fr., Service Forestier				cleaned_0index:0
22. 9.201 3 & Crouzet, N.				cleaned_0index:0
29 Aug.				cleaned_0index:0
6. VIII. 1971 & Raynal				cleaned_0index:0
A				cleaned_0index:0
Aa				cleaned_0index:0
A. Abela. Clark Co.	A. Abela. Clark Co.	parsed:A. Abela. Clark Co.		cleaned_0index:0
A. Adrianov & C. Murakami & Y. Shirayama & Specimen	Specimen	parsed:A. Adrianov<SEP>C. Murakami<SEP>Y. Shirayama<SEP>Specimen	cleaned:A. Adrianov<SEP>C. Murakami<SEP>Y. Shirayama<SEP>	cleaned_0index:3
A. Ahmadi & New	New	parsed:A. Ahmadi<SEP>New	cleaned:A. Ahmadi<SEP>	cleaned_0index:1
A. A. Khan & Natural History Museum	Natural History	parsed:A.A. Khan<SEP>Natural History	cleaned:A.A. Khan<SEP>	cleaned_0index:1
A. Alack & No	No	parsed:A. Alack<SEP>No	cleaned:A. Alack<SEP>	cleaned_0index:1
A. A. LaPlante Collection	A. A. LaPlante Collection	parsed:A. A. LaPlante Collection		cleaned_0index:0
A. and D.M. Dyakonov. Alushta, 1♀ 1♂ 11 VI 1911, A.M. Dyakonov. 				cleaned_0index:0
A. and M. Walford-Huggins				cleaned_0index:0
A. and M. Walford-Huggins				cleaned_0index:0
A. and M. Walford-Huggins				cleaned_0index:0
A. and M. Walford-Huggins				cleaned_0index:0
A. Anker & Expedition	Expedition	parsed:A. Anker<SEP>Expedition	cleaned:A. Anker<SEP>	cleaned_0index:1
A.A. Ogloblin & Fig. & The	The	parsed:A.A. Ogloblin<SEP>Fig<SEP>The	cleaned:A.A. Ogloblin<SEP>Fig<SEP>	cleaned_0index:2
A. A. Ojanguren-Affilastro, J. Pizarro-Araya, F. M. Alfaro, P. A	P. A	parsed:A.A. Ojanguren-Affilastro<SEP>J. Pizarro-Araya<SEP>F.M. Alfaro<SEP>P. A	cleaned:A.A. Ojanguren-Affilastro<SEP>J. Pizarro-Araya<SEP>F.M. Alfaro<SEP>	cleaned_0index:3
