,family,given,suffix,particle,dropping_particle,nick,appellation,title,canonical_string_collector_parsed,occurrenceID_collectors_count,occurrenceID_collectors_firstsample,collectors_eventDate_mean,collectors_eventDate_min,collectors_eventDate_max,old_index,namematch_source_data,namematch_resource_data,namematch_distance
2,Aaronsohn,A.,,,,,,,"Aaronsohn, A.",1,https://herbarium.bgbm.org/object/B100379341,1908-06-20 00:00:00.000,1908-06-20 00:00:00.000,1908-06-20 00:00:00.000,13750,"Aaronsohn, A.","Aaronsohn, A.",0.0
7,Abbe,E.C.,,,,,,,"Abbe, E.C.",2,https://herbarium.bgbm.org/object/B100241637,1946-05-22 12:00:00.000,1932-07-26 00:00:00.000,1960-03-18 00:00:00.000,5178,"Abbe, E.C.","Abbe, E.C.",0.0
10,Abbott,J.R.,,,,,,,"Abbott, J.R.",80,https://herbarium.bgbm.org/object/B100181131,1999-11-05 15:33:58.473,1992-05-20 00:00:00.000,2007-07-17 00:00:00.000,13753,"Abbott, J.R.","Abbott, J.R.",0.0
12,Abbott,W.L.,,,,,,,"Abbott, W.L.",4,http://id.snsb.info/snsb/collection/504820/626155/283761,1921-08-04 16:00:00.000,1921-04-05 00:00:00.000,1922-04-27 00:00:00.000,1401,"Abbott, W.L.","Abbott, W.L.",0.0
15,Abedin,S.,,,,,,,"Abedin, S.",13,https://herbarium.bgbm.org/object/B100046632,1971-09-20 06:00:00.000,1969-05-29 00:00:00.000,1972-05-26 00:00:00.000,6207,"Abedin, S.","Abedin, S.",0.0
27,Acebey,A.,,,,,,,"Acebey, A.",6,http://id.snsb.info/snsb/collection/719469/786048/423570,1997-01-12 00:00:00.000,1992-11-28 00:00:00.000,2000-04-03 00:00:00.000,9867,"Acebey, A.","Acebey, A.",0.0
40,Ackermann,M.,,,,,,,"Ackermann, M.",33,http://id.snsb.info/snsb/collection/444683/544886/227537,2008-02-26 15:51:00.000,2001-02-03 00:00:00.000,2022-10-06 00:00:00.000,6406,"Ackermann, M.","Ackermann, M.",0.0
42,Acocks,J.P.H.,,,,,,,"Acocks, J.P.H.",15,http://id.snsb.info/snsb/collection/15773/24491/15593,1952-10-12 10:02:10.910,1938-01-01 00:00:00.000,1960-09-17 00:00:00.000,2723,"Acocks, J.P.H.","Acocks, J.P.H.",0.0
44,Acosta,J.M.,,,,,,,"Acosta, J.M.",3,https://herbarium.bgbm.org/object/B101009972,2017-01-13 08:00:00.000,2017-01-13 00:00:00.000,2017-01-14 00:00:00.000,2813,"Acosta, J.M.","Acosta, J.M.",0.0
45,Acosta,L.,,,,,,,"Acosta, L.",538,https://herbarium.bgbm.org/object/B100542413,2003-04-14 12:24:07.461,1996-12-13 00:00:00.000,2012-06-01 00:00:00.000,2339,"Acosta, L.","Acosta, L.",0.0
56,Adamović,L.,,,,,,,"Adamović, L.",35,https://je.jacq.org/JE00017664,1895-10-11 10:58:17.143,1893-04-01 00:00:00.000,1907-07-01 00:00:00.000,15208,"Adamović, L.","Adamović, L.",0.0
