,family,given,suffix,particle,dropping_particle,nick,appellation,title,canonical_string_collector_parsed,source_data,occurrenceID_collectors_count,occurrenceID_collectors_firstsample,old_index,namematch_source_data,namematch_resource_data,namematch_similarity
2,Aaronsohn,A.,,,,,,,"Aaronsohn, A.","Aaronsohn,A.",3,https://je.jacq.org/JE00010154,2.0,"Aaronsohn, A.","Aaronsohn, A.",1.0
7,Abbe,E.C.,,,,,,,"Abbe, E.C.","Raup,H.M. & Abbe,E.C.",2,https://herbarium.bgbm.org/object/B100241637,6.0,"Abbe, E.C.","Abbe, E.C.",1.0
11,Abbott,J.R.,,,,,,,"Abbott, J.R.","Bécquer,E. & Abbott,J.R.",80,https://herbarium.bgbm.org/object/B100181131,9.0,"Abbott, J.R.","Abbott, J.R.",1.0
13,Abbott,W.L.,,,,,,,"Abbott, W.L.","Abbott, W.L. (no. 1248)",4,http://id.snsb.info/snsb/collection/504820/626155/283761,11.0,"Abbott, W.L.","Abbott, W.L.",1.0
21,Abedin,S.,,,,,,,"Abedin, S.","Abedin,S. & Hussein,A.",14,https://herbarium.bgbm.org/object/B100046632,14.0,"Abedin, S.","Abedin, S.",1.0
35,Acebey,A.,,,,,,,"Acebey, A.","Acebey, A. (no. 563)",6,http://id.snsb.info/snsb/collection/719469/786048/423570,22.0,"Acebey, A.","Acebey, A.",1.0
48,Ackermann,M.,,,,,,,"Ackermann, M.","Ackermann, M. (no. 647)",34,http://id.snsb.info/snsb/collection/444683/544886/227537,33.0,"Ackermann, M.","Ackermann, M.",1.0
51,Acocks,J.P.H.,,,,,,,"Acocks, J.P.H.","Acocks, J.P.H. (no. 13521)",17,http://id.snsb.info/snsb/collection/15773/24491/15593,35.0,"Acocks, J.P.H.","Acocks, J.P.H.",1.0
53,Acosta,J.M.,,,,,,,"Acosta, J.M.","Acosta,J.M.",3,https://herbarium.bgbm.org/object/B101009972,37.0,"Acosta, J.M.","Acosta, J.M.",1.0
54,Acosta,L.,,,,,,,"Acosta, L.","González,A.F.R., Ramírez,V. [Victor], Acosta,L. & Soto,G.",538,https://herbarium.bgbm.org/object/B100542413,38.0,"Acosta, L.","Acosta, L.",1.0
66,Adamović,L.,,,,,,,"Adamović, L.","Adamović,L.",36,https://je.jacq.org/JE00017664,49.0,"Adamović, L.","Adamović, L.",1.0
67,Adamovič,L.,,,,,,,"Adamovič, L.","Adamovič, L.",3,http://id.snsb.info/snsb/collection/464847/566421/243693,50.0,"Adamovič, L.","Adamović, L.",1.0
70,Adams,C.D.,,,,,,,"Adams, C.D.","Adams, C.D. (no. 6969)",7,http://id.snsb.info/snsb/collection/25541/34319/25105,53.0,"Adams, C.D.","Adams, C.D.",1.0
72,Adams,L.G.,,,,,,,"Adams, L.G.","Adams,L.G. & Richardson,P.",5,https://herbarium.bgbm.org/object/B100365285,55.0,"Adams, L.G.","Adams, L.G.",1.0
76,Adamson,J.,,,,,,,"Adamson, J.","Adamson,J.",1,https://herbarium.bgbm.org/object/B100057312,59.0,"Adamson, J.","Adamson, J.",1.0
80,Ade,A.,,,,,,,"Ade, A.","Ade, A.",4,http://id.snsb.info/snsb/collection/513255/635847/292856,62.0,"Ade, A.","Ade, A.",1.0
92,Adler,W.,,,,,,,"Adler, W.","Adler,W.",6,https://herbarium.bgbm.org/object/B101191388,69.0,"Adler, W.","Adler, W.",1.0
94,Adolphi,K.,,,,,,,"Adolphi, K.","Adolphi,K.",3,https://herbarium.bgbm.org/object/B100463717,71.0,"Adolphi, K.","Adolphi, K.",1.0
97,Adıgüzel,N.,,,,,,,"Adıgüzel, N.","Freitag,H. & Adıgüzel,N.",1,https://je.jacq.org/JE00013121,72.0,"Adıgüzel, N.","Adıgüzel, N.",1.0
99,Aedo,C.,,,,,,,"Aedo, C.","Aedo,C., Güemes,J., Muñoz Garmendia,F., Pedrol,J., Rico,E. & Sequeira,M.",53,https://herbarium.bgbm.org/object/B101037507,74.0,"Aedo, C.","Aedo, C.",1.0
100,Aellen,P.,,,,,,,"Aellen, P.","Aellen, P.",66,http://id.snsb.info/snsb/collection/459127/559829/237976,75.0,"Aellen, P.","Aellen, P.",1.0
107,Afonina,O.M.,,,,,,,"Afonina, O.M.","Afonina,O.M.",2,https://je.jacq.org/JE04009152,80.0,"Afonina, O.M.","Afonina, O.M.",1.0
111,Afzelius,A.,,,,,,,"Afzelius, A.","Afzelius,A. & Daniell,W.F.",11,https://herbarium.bgbm.org/object/B100068937,82.0,"Afzelius, A.","Afzelius, A.",1.0
116,Agnew,A.D.Q.,,,,,,,"Agnew, A.D.Q.","Agnew,A.D.Q.",2,https://herbarium.bgbm.org/object/B100217805,87.0,"Agnew, A.D.Q.","Agnew, A.D.Q.",1.0
119,Aguiar,C.,,,,,,,"Aguiar, C.","Castroviejo,S., Aguiar,C., Casaseca,B., Carrasco,M. & Capelo,J.",1,https://herbarium.bgbm.org/object/B101137576,89.0,"Aguiar, C.","Aguiar, C.",1.0
124,Aguilar,J.,,,,,,,"Aguilar, J.","Galán,P., Rodríguez,D., Arévalo,G. & Aguilar,J.",27,https://herbarium.bgbm.org/object/B100043178,94.0,"Aguilar, J.","Aguilar, J.",1.0
129,Aguilar,R.,,,,,,,"Aguilar, R.","Kriebel,R., Zamora,N., Aguilar,R. & González,J.",126,https://herbarium.bgbm.org/object/B100459555,99.0,"Aguilar, R.","Aguilar, R.",1.0
130,Aguilella,A.,,,,,,,"Aguilella, A.","Aguilella,A. & al.",4,https://herbarium.bgbm.org/object/B100358370,100.0,"Aguilella, A.","Aguilella, A.",1.0
135,Aguirre,J.,,,,,,,"Aguirre, J.","Gradstein,S.R. & Aguirre,J.",4,https://herbarium.bgbm.org/object/B300230830,105.0,"Aguirre, J.","Aguirre, J.",1.0
139,Ahern,G.P.,,,,,,,"Ahern, G.P.","Ahern, G.P. (no. 470)",3,http://id.snsb.info/snsb/collection/645990/701050/351640,108.0,"Ahern, G.P.","Ahern, G.P.",1.0
146,Ahles,H.E.,,,,,,,"Ahles, H.E.","Ahles,H.E.",1,https://herbarium.bgbm.org/object/B101224042,115.0,"Ahles, H.E.","Ahles, H.E.",1.0
149,Ahmad,N.,,,,,,,"Ahmad, N.","Ahmad,N.",2,https://herbarium.bgbm.org/object/B100848610,117.0,"Ahmad, N.","Ahmad, N.",1.0
150,Ahmad,S.,,,,,,,"Ahmad, S.","Ahmad,S.",4,https://herbarium.bgbm.org/object/B101097885,118.0,"Ahmad, S.","Ahmad, S.",1.0
155,Ahti,T.T.,,,,,,,"Ahti, T.T.","Tillett,S.S., Ahti,T.T. & Panza C.,J.A.",15,https://herbarium.bgbm.org/object/B600325604,123.0,"Ahti, T.T.","Ahti, T.T.",1.0
156,Ahumada,L.Z.,,,,,,,"Ahumada, L.Z.","Ahumada, L.Z.",1,http://id.snsb.info/snsb/collection/512566/635026/292131,124.0,"Ahumada, L.Z.","Ahumada, L.Z.",1.0
